ticker,bid,ask,last,open,high,low,volume
1996,-1,-1,2.8,2.85,2.85,2.75,1972000
2016,-1,-1,4.28,4.36,4.36,4.27,13000
1622,-1,-1,4.38,4.28,4.42,4.27,3644000
1466,-1,-1,1.1,1.09,1.1,1.08,466000
2329,-1,-1,1.95,1.94,2,1.93,3874000
1789,-1,-1,4.11,4.15,4.21,4.1,734120
1234,-1,-1,6.59,6.69,6.7,6.56,899000
1836,-1,-1,9.52,9.54,9.6,9.4,262500
1986,-1,-1,5.1,5.49,5.49,5,2031500
6889,-1,-1,9.28,9.3,9.42,9.24,94600
826,-1,-1,1.71,1.75,1.76,1.71,3476000
467,-1,-1,1.14,1.16,1.19,1.05,4492000
511,-1,-1,14.52,14.8,14.9,14.44,217710
506,-1,-1,2.72,2.73,2.73,2.64,1978000
1381,-1,-1,4.14,4.2,4.2,4.1,1865780
3309,-1,-1,4.67,4.88,4.88,4.62,1190000
1508,-1,-1,1.6,1.57,1.6,1.56,5735000
8469,,,6.39,6.6,6.61,6.39,796000
1600,-1,-1,6.25,6.39,6.44,6.2,868500
3969,-1,-1,5.62,5.47,5.62,5.4,3032000
816,-1,-1,1.8,1.82,1.83,1.79,2010850
1569,-1,-1,1.29,1.29,1.35,1.28,5082000
1383,-1,-1,1.13,1.19,1.19,1.13,2400000
8480,-1,-1,2.83,2.85,2.88,2.76,564000
535,-1,-1,0.72,0.73,0.73,0.72,1808000
8293,-1,-1,5.87,5.91,5.95,5.83,525000
2678,-1,-1,8.54,8.51,8.86,8.51,955000
921,-1,-1,5.8,5.78,5.82,5.69,728000
934,-1,-1,3.33,3.31,3.37,3.24,4910989
6128,-1,-1,4.72,4.76,4.76,4.69,1204000
337,-1,-1,1.85,1.9,1.92,1.83,1072000
41,-1,-1,32.85,32.8,32.95,32.55,166860
3355,-1,-1,1.46,1.46,1.47,1.46,4942000
6836,-1,-1,1.11,1.09,1.11,1.08,4018000
582,-1,-1,2.24,2.23,2.29,2.12,2353200
8022,-1,-1,1.27,1.29,1.35,1.26,4785000
8391,-1,-1,0.222,0.24,0.241,0.222,792000
7205,-1,-1,6.65,6.71,6.76,6.65,132800
330,-1,-1,1.49,1.54,1.54,1.48,1966370
579,-1,-1,1.8,1.78,1.81,1.77,3304000
1812,-1,-1,4.25,4.35,4.39,4.21,919000
1023,-1,-1,1.7,1.72,1.74,1.68,182000
3663,-1,-1,1.47,1.44,1.47,1.44,16000
1086,-1,-1,2.42,2.48,2.49,2.38,588000
1963,-1,-1,4.38,4.41,4.41,4.37,589500
1266,-1,-1,1.38,1.39,1.39,1.37,1761000
327,-1,-1,2.85,2.8,2.89,2.8,1136000
2136,-1,-1,2.66,2.6,2.69,2.64,107500
1572,-1,-1,1.33,1.33,1.33,1.29,3060000
777,-1,-1,11.88,12.02,12.02,11.58,338460
856,-1,-1,3.62,3.81,3.81,3.5,4358000
1848,-1,-1,7.76,7.8,7.89,7.75,551000
797,-1,-1,1.41,1.46,1.47,1.36,668000
596,-1,-1,3.34,3.35,3.37,3.32,196000
2038,-1,-1,0.82,0.82,0.82,0.8,1057331
1629,-1,-1,1.7,1.71,1.83,1.7,48000
